SUMLEV,REGION,DIVISION,STATE,TE,COUNTY,NTY,Fips,STNAME,CTYNAME,POPESTIMATE2019
40,3,6,1,01,0,000,01000,Alabama,Alabama,4903185
50,3,6,1,01,1,001,01001,Alabama,Autauga County,55869
50,3,6,1,01,3,003,01003,Alabama,Baldwin County,223234
50,3,6,1,01,5,005,01005,Alabama,Barbour County,24686
50,3,6,1,01,7,007,01007,Alabama,Bibb County,22394
50,3,6,1,01,9,009,01009,Alabama,Blount County,57826
50,3,6,1,01,11,011,01011,Alabama,Bullock County,10101
50,3,6,1,01,13,013,01013,Alabama,Butler County,19448
50,3,6,1,01,15,015,01015,Alabama,Calhoun County,113605
50,3,6,1,01,17,017,01017,Alabama,Chambers County,33254
50,3,6,1,01,19,019,01019,Alabama,Cherokee County,26196
50,3,6,1,01,21,021,01021,Alabama,Chilton County,44428
50,3,6,1,01,23,023,01023,Alabama,Choctaw County,12589
50,3,6,1,01,25,025,01025,Alabama,Clarke County,23622
50,3,6,1,01,27,027,01027,Alabama,Clay County,13235
50,3,6,1,01,29,029,01029,Alabama,Cleburne County,14910
50,3,6,1,01,31,031,01031,Alabama,Coffee County,52342
50,3,6,1,01,33,033,01033,Alabama,Colbert County,55241
50,3,6,1,01,35,035,01035,Alabama,Conecuh County,12067
50,3,6,1,01,37,037,01037,Alabama,Coosa County,10663
50,3,6,1,01,39,039,01039,Alabama,Covington County,37049
50,3,6,1,01,41,041,01041,Alabama,Crenshaw County,13772
50,3,6,1,01,43,043,01043,Alabama,Cullman County,83768
50,3,6,1,01,45,045,01045,Alabama,Dale County,49172
50,3,6,1,01,47,047,01047,Alabama,Dallas County,37196
50,3,6,1,01,49,049,01049,Alabama,DeKalb County,71513
50,3,6,1,01,51,051,01051,Alabama,Elmore County,81209
50,3,6,1,01,53,053,01053,Alabama,Escambia County,36633
50,3,6,1,01,55,055,01055,Alabama,Etowah County,102268
50,3,6,1,01,57,057,01057,Alabama,Fayette County,16302
50,3,6,1,01,59,059,01059,Alabama,Franklin County,31362
50,3,6,1,01,61,061,01061,Alabama,Geneva County,26271
50,3,6,1,01,63,063,01063,Alabama,Greene County,8111
50,3,6,1,01,65,065,01065,Alabama,Hale County,14651
50,3,6,1,01,67,067,01067,Alabama,Henry County,17205
50,3,6,1,01,69,069,01069,Alabama,Houston County,105882
50,3,6,1,01,71,071,01071,Alabama,Jackson County,51626
50,3,6,1,01,73,073,01073,Alabama,Jefferson County,658573
50,3,6,1,01,75,075,01075,Alabama,Lamar County,13805
50,3,6,1,01,77,077,01077,Alabama,Lauderdale County,92729
50,3,6,1,01,79,079,01079,Alabama,Lawrence County,32924
50,3,6,1,01,81,081,01081,Alabama,Lee County,164542
50,3,6,1,01,83,083,01083,Alabama,Limestone County,98915
50,3,6,1,01,85,085,01085,Alabama,Lowndes County,9726
50,3,6,1,01,87,087,01087,Alabama,Macon County,18068
50,3,6,1,01,89,089,01089,Alabama,Madison County,372909
50,3,6,1,01,91,091,01091,Alabama,Marengo County,18863
50,3,6,1,01,93,093,01093,Alabama,Marion County,29709
50,3,6,1,01,95,095,01095,Alabama,Marshall County,96774
50,3,6,1,01,97,097,01097,Alabama,Mobile County,413210
50,3,6,1,01,99,099,01099,Alabama,Monroe County,20733
50,3,6,1,01,101,101,01101,Alabama,Montgomery County,226486
50,3,6,1,01,103,103,01103,Alabama,Morgan County,119679
50,3,6,1,01,105,105,01105,Alabama,Perry County,8923
50,3,6,1,01,107,107,01107,Alabama,Pickens County,19930
