"","state","fips","date","cases","deaths","daily_cases","daily_cases_avg","daily_deaths","daily_deaths_avg","daily_cases_avg_per","daily_deaths_avg_per","weekly_cases_per100k","weekly_deaths_per100k"
"1","USA","0",2020-01-21,1,0,0,NA,0,NA,NA,NA,NA,NA
"2","USA","0",2020-01-22,1,0,0,NA,0,NA,NA,NA,NA,NA
"3","USA","0",2020-01-23,1,0,0,NA,0,NA,NA,NA,NA,NA
"4","USA","0",2020-01-24,2,0,1,NA,0,NA,NA,NA,NA,NA
"5","USA","0",2020-01-25,3,0,1,NA,0,NA,NA,NA,NA,NA
"6","USA","0",2020-01-26,5,0,2,NA,0,NA,NA,NA,NA,NA
"7","USA","0",2020-01-27,5,0,0,0.571428571428571,0,0,1.74088898925365e-09,0,0.00121862229247756,0
"8","USA","0",2020-01-28,5,0,0,0.571428571428571,0,0,1.74088898925365e-09,0,0.00121862229247756,0
"9","USA","0",2020-01-29,5,0,0,0.571428571428571,0,0,1.74088898925365e-09,0,0.00121862229247756,0
"10","USA","0",2020-01-30,6,0,1,0.714285714285714,0,0,2.17611123656707e-09,0,0.00152327786559695,0
"11","USA","0",2020-01-31,7,0,1,0.714285714285714,0,0,2.17611123656707e-09,0,0.00152327786559695,0
"12","USA","0",2020-02-01,8,0,1,0.714285714285714,0,0,2.17611123656707e-09,0,0.00152327786559695,0
"13","USA","0",2020-02-02,11,0,3,0.857142857142857,0,0,2.61133348388048e-09,0,0.00182793343871634,0
"14","USA","0",2020-02-03,11,0,0,0.857142857142857,0,0,2.61133348388048e-09,0,0.00182793343871634,0
"15","USA","0",2020-02-04,11,0,0,0.857142857142857,0,0,2.61133348388048e-09,0,0.00182793343871634,0
"16","USA","0",2020-02-05,12,0,1,1,0,0,3.04655573119389e-09,0,0.00213258901183573,0
"17","USA","0",2020-02-06,12,0,0,0.857142857142857,0,0,2.61133348388048e-09,0,0.00182793343871634,0
"18","USA","0",2020-02-07,12,0,0,0.714285714285714,0,0,2.17611123656707e-09,0,0.00152327786559695,0
"19","USA","0",2020-02-08,12,0,0,0.571428571428571,0,0,1.74088898925365e-09,0,0.00121862229247756,0
"20","USA","0",2020-02-09,12,0,0,0.142857142857143,0,0,4.35222247313413e-10,0,0.000304655573119389,0
"21","USA","0",2020-02-10,13,0,1,0.285714285714286,0,0,8.70444494626827e-10,0,0.000609311146238779,0
"22","USA","0",2020-02-11,13,0,0,0.285714285714286,0,0,8.70444494626827e-10,0,0.000609311146238779,0
"23","USA","0",2020-02-12,14,0,1,0.285714285714286,0,0,8.70444494626827e-10,0,0.000609311146238779,0
"24","USA","0",2020-02-13,15,0,1,0.428571428571429,0,0,1.30566674194024e-09,0,0.000913966719358168,0
"25","USA","0",2020-02-14,15,0,0,0.428571428571429,0,0,1.30566674194024e-09,0,0.000913966719358168,0
"26","USA","0",2020-02-15,15,0,0,0.428571428571429,0,0,1.30566674194024e-09,0,0.000913966719358168,0
"27","USA","0",2020-02-16,15,0,0,0.428571428571429,0,0,1.30566674194024e-09,0,0.000913966719358168,0
"28","USA","0",2020-02-17,25,0,10,1.71428571428571,0,0,5.22266696776096e-09,0,0.00365586687743267,0
"29","USA","0",2020-02-18,25,0,0,1.71428571428571,0,0,5.22266696776096e-09,0,0.00365586687743267,0
"30","USA","0",2020-02-19,25,0,0,1.57142857142857,0,0,4.78744472044755e-09,0,0.00335121130431328,0
"31","USA","0",2020-02-20,27,0,2,1.71428571428571,0,0,5.22266696776096e-09,0,0.00365586687743267,0
"32","USA","0",2020-02-21,30,0,3,2.14285714285714,0,0,6.5283337097012e-09,0,0.00456983359679084,0
"33","USA","0",2020-02-22,30,0,0,2.14285714285714,0,0,6.5283337097012e-09,0,0.00456983359679084,0
"34","USA","0",2020-02-23,30,0,0,2.14285714285714,0,0,6.5283337097012e-09,0,0.00456983359679084,0
"35","USA","0",2020-02-24,43,0,13,2.57142857142857,0,0,7.83400045164144e-09,0,0.00548380031614901,0
"36","USA","0",2020-02-25,45,0,2,2.85714285714286,0,0,8.70444494626827e-09,0,0.00609311146238779,0
"37","USA","0",2020-02-26,60,0,15,5,0,0,1.52327786559695e-08,0,0.0106629450591786,0
"38","USA","0",2020-02-27,60,0,0,4.71428571428571,0,0,1.43623341613426e-08,0,0.0100536339129398,0
"39","USA","0",2020-02-28,65,0,5,5,0,0,1.52327786559695e-08,0,0.0106629450591786,0
"40","USA","0",2020-02-29,70,1,5,5.71428571428571,1,0.142857142857143,1.74088898925365e-08,4.35222247313413e-10,0.0121862229247756,0.000304655573119389
"41","USA","0",2020-03-01,88,3,18,8.28571428571429,2,0.428571428571429,2.5242890344178e-08,1.30566674194024e-09,0.0176700232409246,0.000913966719358168
"42","USA","0",2020-03-02,104,6,16,8.71428571428571,3,0.857142857142857,2.65485570861182e-08,2.61133348388048e-09,0.0185839899602828,0.00182793343871634
"43","USA","0",2020-03-03,125,10,21,11.4285714285714,4,1.42857142857143,3.48177797850731e-08,4.35222247313413e-09,0.0243724458495512,0.00304655573119389
"44","USA","0",2020-03-04,161,12,36,14.4285714285714,2,1.71428571428571,4.39574469786548e-08,5.22266696776096e-09,0.0307702128850583,0.00365586687743267
"45","USA","0",2020-03-05,228,12,67,24,0,1.71428571428571,7.31173375486535e-08,5.22266696776096e-09,0.0511821362840574,0.00365586687743267
"46","USA","0",2020-03-06,311,15,83,35.1428571428571,3,2.14285714285714,1.070646728391e-07,6.5283337097012e-09,0.0749452709873698,0.00456983359679084
"47","USA","0",2020-03-07,428,19,117,51.1428571428571,4,2.57142857142857,1.55809564538202e-07,7.83400045164144e-09,0.109066695176741,0.00548380031614901
"48","USA","0",2020-03-08,547,22,119,65.5714285714286,3,2.71428571428571,1.99767011516857e-07,8.26922269895485e-09,0.1398369080618,0.0057884558892684
"49","USA","0",2020-03-09,748,26,201,92,4,2.85714285714286,2.80283127269838e-07,8.70444494626827e-09,0.196198189088887,0.00609311146238779
"50","USA","0",2020-03-10,1018,31,270,127.571428571429,5,3,3.88653466850878e-07,9.13966719358168e-09,0.272057426795615,0.00639776703550718
"51","USA","0",2020-03-11,1263,37,245,157.428571428571,6,3.57142857142857,4.79614916539382e-07,1.08805561828353e-08,0.335730441577567,0.00761638932798474
"52","USA","0",2020-03-12,1668,43,405,205.714285714286,6,4.42857142857143,6.26720036131315e-07,1.34918896667158e-08,0.438704025291921,0.00944432276670107
"53","USA","0",2020-03-13,2224,50,556,273.285714285714,7,5,8.3258015911056e-07,1.52327786559695e-08,0.582806111377392,0.0106629450591786
"54","USA","0",2020-03-14,2898,60,674,352.857142857143,10,5.85714285714286,1.07499895086413e-06,1.784411213985e-08,0.752499265604892,0.012490878497895
"55","USA","0",2020-03-15,3600,68,702,436.142857142857,8,6.57142857142857,1.32873352104785e-06,2.0020223376417e-08,0.930113464733496,0.0140141563634919
"56","USA","0",2020-03-16,4507,91,907,537,23,9.28571428571429,1.63600042765112e-06,2.82894460753719e-08,1.14520029935578,0.0198026122527603
"57","USA","0",2020-03-17,5906,117,1399,698.285714285714,26,12.2857142857143,2.12736634486796e-06,3.74291132689536e-08,1.48915644140758,0.0262003792882675
"58","USA","0",2020-03-18,8350,162,2444,1012.42857142857,45,17.8571428571429,3.08442006671016e-06,5.44027809141767e-08,2.15909404669711,0.0380819466399237
